prdt_type,brand,milestone,target_group,campaign_month,selected_qty,mailed_count,response_count,response_sales_amt,cust_segment,response_rate_percentage,sales_per_mailed
Prdt-1,B,15 Months,Targeted,JANUARY,2912,591,75,12180.86,NVIPC637-ClubRecal,12.690355329949238,20.610592216582067
Prdt-1,B,18 Months,Control,JANUARY,357,64,1,416.36,NVIPC634-Recall-CG,1.5625,6.505625
Prdt-1,B,18 Months,Targeted,JANUARY,3235,637,33,8224.85,NVIPC634-Recall-TG,5.180533751962323,12.911852433281005
Prdt-1,B,18 Months,Control,JANUARY,436,94,4,1456.51,NVIPC635-Recall-CG,4.25531914893617,15.494787234042553
Prdt-1,B,18 Months,Targeted,JANUARY,3944,830,44,7608.59,NVIPC635-Recall-TG,5.301204819277109,9.166975903614459
Prdt-1,B,18 Months,Control,JANUARY,113,24,0,0.0,NVIPC636-Recall-CG,0.0,0.0
Prdt-1,B,18 Months,Targeted,JANUARY,1038,185,3,680.91,NVIPC636-Recall-TG,1.6216216216216217,3.6805945945945946
Prdt-1,B,18 Months,Control,JANUARY,322,55,9,1711.44,NVIPC637-ClubRecal,16.363636363636363,31.11709090909091
Prdt-1,B,18 Months,Targeted,JANUARY,2912,542,64,9260.43,NVIPC637-ClubRecal,11.808118081180812,17.08566420664207
Prdt-1,B,21 Months,Control,JANUARY,357,48,0,0.0,NVIPC634-Recall-CG,0.0,0.0
Prdt-1,B,21 Months,Targeted,JANUARY,3235,527,20,5384.51,NVIPC634-Recall-TG,3.795066413662239,10.217286527514231
Prdt-1,B,21 Months,Control,JANUARY,436,81,4,463.0,NVIPC635-Recall-CG,4.938271604938271,5.716049382716049
Prdt-1,B,21 Months,Targeted,JANUARY,3944,645,16,3944.61,NVIPC635-Recall-TG,2.4806201550387597,6.115674418604652
Prdt-1,B,21 Months,Control,JANUARY,113,23,0,0.0,NVIPC636-Recall-CG,0.0,0.0
Prdt-1,B,21 Months,Targeted,JANUARY,1038,172,7,1285.41,NVIPC636-Recall-TG,4.069767441860465,7.473313953488373
Prdt-1,B,21 Months,Control,JANUARY,322,48,3,860.69,NVIPC637-ClubRecal,6.25,17.93104166666667
Prdt-1,B,21 Months,Targeted,JANUARY,2912,455,40,4310.09,NVIPC637-ClubRecal,8.791208791208792,9.472725274725276
Prdt-1,B,24 Months,Control,JANUARY,357,68,2,307.99,NVIPC634-Recall-CG,2.941176470588235,4.529264705882353
Prdt-1,B,24 Months,Targeted,JANUARY,3235,522,20,5460.31,NVIPC634-Recall-TG,3.8314176245210727,10.46036398467433
Prdt-1,B,24 Months,Control,JANUARY,436,67,2,365.55,NVIPC635-Recall-CG,2.9850746268656714,5.455970149253732
Prdt-1,B,24 Months,Targeted,JANUARY,3944,644,22,4860.89,NVIPC635-Recall-TG,3.4161490683229814,7.547965838509318
Prdt-1,B,24 Months,Control,JANUARY,113,17,1,224.95,NVIPC636-Recall-CG,5.88235294117647,13.23235294117647
Prdt-1,B,24 Months,Targeted,JANUARY,1038,151,5,1241.81,NVIPC636-Recall-TG,3.3112582781456954,8.223907284768211
Prdt-1,B,24 Months,Control,JANUARY,644,69,4,312.78,NVIPC637-ClubRecal,5.797101449275362,4.533043478260869
Prdt-1,B,24 Months,Targeted,JANUARY,5824,667,50,7785.0,NVIPC637-ClubRecal,7.496251874062969,11.671664167916042
Prdt-1,B,12 Months,Targeted,JULY,609,609,66,18736.12,CLClubInvite12,10.83743842364532,30.765385878489326
Prdt-1,B,12 Months,Control,JULY,68,68,9,1847.63,CLClubInvite12Control,13.23529411764706,27.171029411764707
Prdt-1,B,12 Months,Targeted,JULY,1501,1501,131,27907.11,CLRecall12,8.727514990006663,18.592345103264492
Prdt-1,B,12 Months,Control,JULY,167,167,18,3229.33,CLRecall12Control,10.778443113772456,19.337305389221555
Prdt-1,B,12 Months,Targeted,JULY,160,160,13,2191.24,CLRecallTXandCA12,8.125,13.695249999999998
Prdt-1,B,12 Months,Control,JULY,18,18,2,370.26,CLRecallTXandCA12Control,11.11111111111111,20.57
Prdt-1,B,12 Months,Targeted,JULY,666,666,119,13688.47,ClubReminder12,17.86786786786787,20.553258258258257
Prdt-1,B,12 Months,Control,JULY,74,74,14,1666.91,ClubReminder12Control,18.91891891891892,22.52581081081081
Prdt-1,B,15 Months,Targeted,JULY,517,517,42,9337.19,CLClubInvite15,8.123791102514506,18.060328820116055
Prdt-1,B,15 Months,Control,JULY,58,58,8,1715.87,CLClubInvite15Control,13.793103448275861,29.583965517241378
Prdt-1,B,15 Months,Targeted,JULY,1235,1235,77,16621.85,CLRecall15,6.234817813765183,13.458987854251012
Prdt-1,B,15 Months,Control,JULY,137,137,7,1331.28,CLRecall15Control,5.109489051094891,9.717372262773722
Prdt-1,B,15 Months,Targeted,JULY,126,126,9,2968.78,CLRecallTXandCA15,7.142857142857142,23.561746031746033
Prdt-1,B,15 Months,Control,JULY,14,14,0,0.0,CLRecallTXandCA15Control,0.0,0.0
Prdt-1,B,15 Months,Targeted,JULY,505,505,55,6858.49,ClubReminder15,10.891089108910892,13.581168316831683
Prdt-1,B,15 Months,Control,JULY,56,56,5,540.35,ClubReminder15Control,8.928571428571429,9.649107142857144
Prdt-1,B,18 Months,Targeted,JULY,329,329,21,5668.37,CLClubInvite18,6.382978723404255,17.229088145896657
Prdt-1,B,18 Months,Control,JULY,37,37,0,0.0,CLClubInvite18Control,0.0,0.0
Prdt-1,B,18 Months,Targeted,JULY,745,745,24,5317.64,CLRecall18,3.2214765100671143,7.137771812080538
Prdt-1,B,18 Months,Control,JULY,83,83,6,1290.72,CLRecall18Control,7.228915662650602,15.550843373493976
Prdt-1,B,18 Months,Targeted,JULY,72,72,6,1171.91,CLRecallTXandCA18,8.333333333333332,16.27652777777778
Prdt-1,B,18 Months,Control,JULY,8,8,0,0.0,CLRecallTXandCA18Control,0.0,0.0
Prdt-1,B,18 Months,Targeted,JULY,298,298,27,3178.72,ClubReminder18,9.060402684563758,10.666845637583892
Prdt-1,B,18 Months,Control,JULY,33,33,2,385.9,ClubReminder18Control,6.0606060606060606,11.693939393939393
Prdt-1,B,21 Months,Targeted,JULY,397,397,19,3833.3,CLClubInvite21,4.785894206549118,9.65566750629723
Prdt-1,B,21 Months,Control,JULY,44,44,4,657.64,CLClubInvite21Control,9.090909090909092,14.946363636363635
Prdt-1,B,21 Months,Targeted,JULY,1040,1040,31,6731.2,CLRecall21,2.980769230769231,6.472307692307692
Prdt-1,B,21 Months,Control,JULY,116,116,5,875.37,CLRecall21Control,4.310344827586207,7.546293103448276
Prdt-1,B,21 Months,Targeted,JULY,104,104,3,749.41,CLRecallTXandCA21,2.8846153846153846,7.205865384615384
Prdt-1,B,21 Months,Control,JULY,11,11,0,0.0,CLRecallTXandCA21Control,0.0,0.0
Prdt-1,B,21 Months,Targeted,JULY,304,304,27,2362.99,ClubReminder21,8.881578947368421,7.772993421052631
Prdt-1,B,21 Months,Control,JULY,34,34,1,138.58,ClubReminder21Control,2.941176470588235,4.075882352941177
Prdt-1,B,24 Months,Targeted,JULY,421,421,17,4715.67,CLClubInvite24,4.038004750593824,11.201116389548694
Prdt-1,B,24 Months,Control,JULY,47,47,3,620.16,CLClubInvite24Control,6.382978723404255,13.194893617021275
Prdt-1,B,24 Months,Targeted,JULY,1066,1066,18,4772.64,CLRecall24,1.6885553470919326,4.477148217636023
Prdt-1,B,24 Months,Control,JULY,118,118,3,545.53,CLRecall24Control,2.5423728813559325,4.623135593220339
Prdt-1,B,24 Months,Targeted,JULY,119,119,6,1469.47,CLRecallTXandCA24,5.042016806722689,12.348487394957983
Prdt-1,B,24 Months,Control,JULY,13,13,1,229.95,CLRecallTXandCA24Control,7.6923076923076925,17.68846153846154
Prdt-1,B,24 Months,Targeted,JULY,266,266,24,2917.93,ClubReminder24,9.022556390977442,10.969661654135338
Prdt-1,B,24 Months,Control,JULY,29,29,0,0.0,ClubReminder24Control,0.0,0.0
Prdt-1,B,24 Months,Targeted,JULY,146,146,15,1935.57,ClubReminder27,10.273972602739725,13.257328767123287
Prdt-1,B,24 Months,Control,JULY,16,16,0,0.0,ClubReminder27Control,0.0,0.0
Prdt-1,B,12 Months,Targeted,JUNE,668,668,72,16029.83,CLClubInvite12,10.778443113772456,23.996751497005988
Prdt-1,B,12 Months,Control,JUNE,75,75,11,1969.59,CLClubInvite12Control,14.666666666666666,26.2612
Prdt-1,B,12 Months,Targeted,JUNE,1332,1332,114,25596.59,CLRecall12,8.558558558558559,19.21665915915916
Prdt-1,B,12 Months,Control,JUNE,148,148,13,2297.28,CLRecall12Control,8.783783783783784,15.522162162162164
Prdt-1,B,12 Months,Targeted,JUNE,129,129,14,2900.8,CLRecallTXandCA12,10.852713178294573,22.486821705426358
Prdt-1,B,12 Months,Control,JUNE,14,14,1,330.53,CLRecallTXandCA12Control,7.142857142857142,23.60928571428571
Prdt-1,B,12 Months,Targeted,JUNE,680,680,97,14163.16,ClubReminder12,14.26470588235294,20.828176470588236
Prdt-1,B,12 Months,Control,JUNE,75,75,9,693.16,ClubReminder12Control,12.0,9.242133333333333
Prdt-1,B,15 Months,Targeted,JUNE,593,593,35,7980.92,CLClubInvite15,5.902192242833052,13.458549747048904
Prdt-1,B,15 Months,Control,JUNE,66,66,1,340.51,CLClubInvite15Control,1.5151515151515151,5.159242424242424
Prdt-1,B,15 Months,Targeted,JUNE,1265,1265,82,17027.35,CLRecall15,6.482213438735178,13.460355731225295
Prdt-1,B,15 Months,Control,JUNE,140,140,11,3007.25,CLRecall15Control,7.857142857142857,21.480357142857144
Prdt-1,B,15 Months,Targeted,JUNE,157,157,9,2075.83,CLRecallTXandCA15,5.7324840764331215,13.221847133757962
Prdt-1,B,15 Months,Control,JUNE,17,17,1,355.07,CLRecallTXandCA15Control,5.88235294117647,20.886470588235294
Prdt-1,B,15 Months,Targeted,JUNE,592,592,77,7246.91,ClubReminder15,13.006756756756758,12.241402027027027
Prdt-1,B,15 Months,Control,JUNE,66,66,8,1150.89,ClubReminder15Control,12.121212121212121,17.437727272727273
Prdt-1,B,18 Months,Targeted,JUNE,320,320,20,3661.61,CLClubInvite18,6.25,11.44253125
Prdt-1,B,18 Months,Control,JUNE,35,35,2,751.91,CLClubInvite18Control,5.714285714285714,21.483142857142855
Prdt-1,B,18 Months,Targeted,JUNE,740,740,29,5266.28,CLRecall18,3.9189189189189193,7.116594594594594
Prdt-1,B,18 Months,Control,JUNE,82,82,5,813.22,CLRecall18Control,6.097560975609756,9.917317073170732
Prdt-1,B,18 Months,Targeted,JUNE,61,61,3,580.99,CLRecallTXandCA18,4.918032786885246,9.524426229508197
Prdt-1,B,18 Months,Control,JUNE,7,7,0,0.0,CLRecallTXandCA18Control,0.0,0.0
Prdt-1,B,18 Months,Targeted,JUNE,252,252,25,2505.72,ClubReminder18,9.920634920634921,9.943333333333333
Prdt-1,B,18 Months,Control,JUNE,28,28,4,520.51,ClubReminder18Control,14.285714285714285,18.589642857142856
Prdt-1,B,21 Months,Targeted,JUNE,411,411,19,4441.98,CLClubInvite21,4.622871046228711,10.807737226277371
Prdt-1,B,21 Months,Control,JUNE,46,46,0,0.0,CLClubInvite21Control,0.0,0.0
Prdt-1,B,21 Months,Targeted,JUNE,976,976,30,7345.32,CLRecall21,3.0737704918032787,7.5259426229508195
Prdt-1,B,21 Months,Control,JUNE,108,108,1,77.78,CLRecall21Control,0.9259259259259258,0.7201851851851852
Prdt-1,B,21 Months,Targeted,JUNE,91,91,1,120.0,CLRecallTXandCA21,1.098901098901099,1.3186813186813187
Prdt-1,B,21 Months,Control,JUNE,10,10,2,190.98,CLRecallTXandCA21Control,20.0,19.098
Prdt-1,B,21 Months,Targeted,JUNE,293,293,19,2171.71,ClubReminder21,6.484641638225256,7.411979522184301
Prdt-1,B,21 Months,Control,JUNE,33,33,3,110.67,ClubReminder21Control,9.090909090909092,3.3536363636363635
Prdt-1,B,24 Months,Targeted,JUNE,412,412,18,5600.28,CLClubInvite24,4.368932038834951,13.592912621359222
Prdt-1,B,24 Months,Control,JUNE,46,46,3,612.21,CLClubInvite24Control,6.521739130434782,13.308913043478261
Prdt-1,B,24 Months,Targeted,JUNE,1026,1026,34,8344.2,CLRecall24,3.313840155945419,8.132748538011697
Prdt-1,B,24 Months,Control,JUNE,114,114,4,401.23,CLRecall24Control,3.508771929824561,3.519561403508772
Prdt-1,B,24 Months,Targeted,JUNE,96,96,5,1032.43,CLRecallTXandCA24,5.208333333333334,10.754479166666668
Prdt-1,B,24 Months,Control,JUNE,11,11,0,0.0,CLRecallTXandCA24Control,0.0,0.0
Prdt-1,B,24 Months,Targeted,JUNE,293,293,19,2753.94,ClubReminder24,6.484641638225256,9.399112627986348
Prdt-1,B,24 Months,Control,JUNE,33,33,0,0.0,ClubReminder24Control,0.0,0.0
Prdt-1,B,24 Months,Targeted,JUNE,284,284,13,1881.19,ClubReminder27,4.577464788732395,6.623908450704225
Prdt-1,B,24 Months,Control,JUNE,31,31,1,0.0,ClubReminder27Control,3.225806451612903,0.0
Prdt-1,B,12 Months,Control,NOVEMBER,1059,72,7,1476.08,NVIPC634-Recall-CG,9.722222222222223,20.50111111111111
Prdt-1,B,12 Months,Targeted,NOVEMBER,9597,791,84,18153.47,NVIPC634-Recall-TG,10.619469026548673,22.950025284450064
Prdt-1,B,12 Months,Control,NOVEMBER,2517,189,13,2898.14,NVIPC635-Recall-CG,6.878306878306878,15.334074074074074
Prdt-1,B,12 Months,Targeted,NOVEMBER,22692,1706,147,28556.75,NVIPC635-Recall-TG,8.61664712778429,16.73900937866354
Prdt-1,B,12 Months,Control,NOVEMBER,192,29,2,379.94,NVIPC636-Recall-CG,6.896551724137931,13.101379310344827
Prdt-1,B,12 Months,Targeted,NOVEMBER,2652,191,10,2426.08,NVIPC636-Recall-TG,5.2356020942408374,12.701989528795812
Prdt-1,B,12 Months,Control,NOVEMBER,670,83,10,1699.59,NVIPC637-Recall-CG,12.048192771084338,20.476987951807228
Prdt-1,B,12 Months,Targeted,NOVEMBER,6066,631,78,8313.88,NVIPC637-Recall-TG,12.361331220285262,13.175721077654515
Prdt-1,B,15 Months,Control,NOVEMBER,353,89,8,1763.79,NVIPC634-Recall-CG,8.98876404494382,19.817865168539324
Prdt-1,B,15 Months,Targeted,NOVEMBER,6398,729,48,12833.0,NVIPC634-Recall-TG,6.584362139917696,17.603566529492454
Prdt-1,B,15 Months,Control,NOVEMBER,839,181,13,2943.91,NVIPC635-Recall-CG,7.18232044198895,16.264696132596683
Prdt-1,B,15 Months,Targeted,NOVEMBER,7564,1725,106,23313.13,NVIPC635-Recall-TG,6.144927536231884,13.514857971014493
Prdt-1,B,15 Months,Control,NOVEMBER,96,20,3,692.19,NVIPC636-Recall-CG,15.0,34.609500000000004
Prdt-1,B,15 Months,Targeted,NOVEMBER,884,224,8,1839.84,NVIPC636-Recall-TG,3.571428571428571,8.213571428571429
Prdt-1,B,15 Months,Control,NOVEMBER,335,62,3,389.94,NVIPC637-Recall-CG,4.838709677419355,6.289354838709677
Prdt-1,B,15 Months,Targeted,NOVEMBER,3033,669,67,10282.31,NVIPC637-Recall-TG,10.014947683109119,15.369671150971598
Prdt-1,B,18 Months,Control,NOVEMBER,353,63,5,1196.7,NVIPC634-Recall-CG,7.936507936507936,18.995238095238097
Prdt-1,B,18 Months,Targeted,NOVEMBER,3199,558,30,6895.7,NVIPC634-Recall-TG,5.376344086021505,12.357885304659497
Prdt-1,B,18 Months,Control,NOVEMBER,839,167,6,1324.6,NVIPC635-Recall-CG,3.592814371257485,7.931736526946107
