prdt_type,campaign_month,milestone,cust_segment,total_customers,expected_responses,avg_score
Prdt-2,OCTOBER,15 Months,Recall Employed-TG,2,2.0,1.0
Prdt-2,JULY,15 Months,EGRecall15NONFS,2,2.0,1.0
Prdt-2,DECEMBER,24 Months,NVIPC644-Recall-TG,2,2.0,1.0
Prdt-2,OCTOBER,24 Months,Recall Employed-TG,2,2.0,1.0
Prdt-2,DECEMBER,24 Months,NVIPC650-Recall-TG,2,2.0,1.0
Prdt-2,DECEMBER,18 Months,NVIPC645-Recall-TG,2,2.0,1.0
Prdt-2,DECEMBER,24 Months,NVIPC651-Recall-TG,2,2.0,1.0
Prdt-2,DECEMBER,18 Months,NVIPC644-Recall-TG,2,2.0,1.0
Prdt-2,OCTOBER,12 Months,Recall First Sight-TG,2,2.0,1.0
Prdt-2,JUNE,21 Months,EGRecall21NONFS,2,2.0,1.0
Prdt-2,JUNE,18 Months,EGRecall18NONFS,2,2.0,1.0
Prdt-2,OCTOBER,12 Months,EG Recall Leased-TG,2,2.0,1.0
Prdt-1,OCTOBER,21 Months,CL Recall Leased-TG,2,2.0,1.0
Prdt-2,AUGUST,12 Months,EGRecall12NONFS,2,2.0,1.0
Prdt-2,DECEMBER,18 Months,NVIPC640-Recall-TG,2,2.0,1.0
Prdt-2,DECEMBER,18 Months,NVIPC650-Recall-TG,2,2.0,1.0
Prdt-1,OCTOBER,15 Months,CL Recall Leased-TG,2,1.9933333333333334,0.9966666666666667
Prdt-2,NOVEMBER,18 Months,NVIPC651-Recall-TG,2,1.99,0.995
Prdt-2,OCTOBER,24 Months,Recall First Sight-TG,2,1.9880000000000002,0.9940000000000001
Prdt-2,JULY,18 Months,EGRecall18NONFS,2,1.98,0.99
Prdt-2,NOVEMBER,18 Months,NVIPC640-Recall-TG,2,1.98,0.99
Prdt-2,DECEMBER,18 Months,NVIPC646-Recall-TG,2,1.98,0.99
Prdt-2,AUGUST,21 Months,EGRecall21NONFS,2,1.98,0.99
Prdt-2,AUGUST,18 Months,EGRecall18NONFS,2,1.98,0.99
Prdt-1,OCTOBER,18 Months,-Recall Employed CL-TG,2,1.98,0.99
Prdt-2,JANUARY,24 Months,NVIPC644-Recall-TG,2,1.98,0.99
Prdt-2,JULY,21 Months,EGRecall21NONFS,2,1.98,0.99
Prdt-2,OCTOBER,27 Months,EG Recall Leased-TG,2,1.98,0.99
Prdt-2,JUNE,15 Months,EGRecall15NONFS,2,1.98,0.99
Prdt-2,NOVEMBER,24 Months,NVIPC644-Recall-TG,2,1.98,0.99
Prdt-2,OCTOBER,18 Months,Recall First Sight-TG,2,1.98,0.99
Prdt-2,OCTOBER,21 Months,Recall Employed-TG,2,1.98,0.99
Prdt-2,JANUARY,24 Months,NVIPC651-Recall-TG,2,1.98,0.99
Prdt-2,OCTOBER,18 Months,NVIPC645-EG MV Rec,4,1.98,0.495
Prdt-2,AUGUST,15 Months,EGRecall15NONFS,2,1.98,0.99
Prdt-1,OCTOBER,12 Months,-Recall Employed CL-TG,2,1.9733333333333334,0.9866666666666667
Prdt-2,JANUARY,24 Months,NVIPC645-Recall-TG,2,1.9714285714285713,0.9857142857142857
Prdt-2,JULY,24 Months,EGRecall24NONFS,2,1.9714285714285713,0.9857142857142857
Prdt-2,JANUARY,18 Months,NVIPC640-Recall-TG,2,1.97,0.985
Prdt-2,JANUARY,18 Months,NVIPC644-Recall-TG,2,1.97,0.985
Prdt-1,OCTOBER,24 Months,-Recall Employed CL-TG,2,1.9666666666666666,0.9833333333333333
Prdt-2,NOVEMBER,27 Months,Recall-CG,6,1.9641385281385277,0.3273564213564213
Prdt-2,NOVEMBER,18 Months,NVIPC650-Recall-TG,2,1.96,0.98
Prdt-2,OCTOBER,21 Months,EG Recall Leased-TG,2,1.96,0.98
Prdt-2,NOVEMBER,18 Months,NVIPC644-Recall-TG,2,1.96,0.98
Prdt-2,DECEMBER,24 Months,NVIPC640-Recall-TG,2,1.96,0.98
Prdt-1,JANUARY,15 Months,Recall-CG,3,1.9566666666666666,0.6522222222222221
Prdt-1,OCTOBER,15 Months,-Recall Employed CL-TG,2,1.9533333333333334,0.9766666666666667
Prdt-2,DECEMBER,24 Months,NVIPC645-Recall-TG,2,1.9521428571428572,0.9760714285714286
Prdt-2,OCTOBER,15 Months,EG Recall Leased-CG,2,1.95,0.975
Prdt-1,OCTOBER,18 Months,CL Recall Leased-TG,2,1.95,0.975
Prdt-2,NOVEMBER,18 Months,NVIPC646-Recall-TG,2,1.9493333333333334,0.9746666666666667
Prdt-1,OCTOBER,27 Months,CL Recall Leased-TG,2,1.945,0.9725
Prdt-2,AUGUST,27 Months,EGRecall27NONFS,2,1.94,0.97
Prdt-2,NOVEMBER,24 Months,NVIPC645-Recall-TG,2,1.94,0.97
Prdt-1,OCTOBER,12 Months,CL Recall Leased-TG,2,1.9383333333333335,0.9691666666666667
Prdt-2,NOVEMBER,18 Months,NVIPC645-Recall-TG,2,1.936,0.968
Prdt-2,OCTOBER,12 Months,Recall Employed-CG,2,1.9283333333333335,0.9641666666666667
Prdt-1,OCTOBER,21 Months,-Recall Employed CL-TG,2,1.922,0.961
Prdt-2,JULY,12 Months,EGRecall12NONFS,2,1.92,0.96
Prdt-2,JANUARY,24 Months,NVIPC650-Recall-TG,2,1.92,0.96
Prdt-2,NOVEMBER,24 Months,NVIPC646-Recall-TG,2,1.92,0.96
Prdt-2,JANUARY,18 Months,NVIPC645-Recall-TG,2,1.9183333333333334,0.9591666666666667
Prdt-1,JANUARY,12 Months,Recall-CG,3,1.9000000000000001,0.6333333333333334
Prdt-2,DECEMBER,24 Months,NVIPC640-Recall-CG,2,1.9,0.95
Prdt-2,OCTOBER,27 Months,Recall Employed-TG,2,1.9,0.95
Prdt-2,NOVEMBER,24 Months,NVIPC640-Recall-TG,2,1.9,0.95
Prdt-2,DECEMBER,21 Months,Recall-CG,6,1.894285714285714,0.31571428571428567
Prdt-2,OCTOBER,12 Months,EG Recall Leased-CG,2,1.8933333333333338,0.9466666666666669
Prdt-2,JANUARY,18 Months,NVIPC650-Recall-TG,2,1.8909523809523807,0.9454761904761904
Prdt-2,OCTOBER,21 Months,Recall First Sight-TG,2,1.8869999999999998,0.9434999999999999
Prdt-2,OCTOBER,21 Months,RecallNONFirstSight-TG,4,1.8803492063492069,0.4700873015873017
Prdt-2,OCTOBER,15 Months,Recall Employed-CG,2,1.8733333333333335,0.9366666666666668
Prdt-1,DECEMBER,18 Months,Recall-CG,3,1.8651825396825399,0.6217275132275133
Prdt-1,OCTOBER,12 Months,-Recall Employed CL-CG,2,1.86,0.93
Prdt-2,OCTOBER,27 Months,Recall First Sight-TG,2,1.855,0.9275
Prdt-2,JUNE,24 Months,EGRecall24NONFS,2,1.84,0.92
Prdt-2,OCTOBER,12 Months,RecallNONFirstSight-CG,4,1.8379999999999999,0.45949999999999996
Prdt-2,JUNE,27 Months,EGRecall27NONFS,2,1.825,0.9125
Prdt-1,JANUARY,12 Months,NVIPC637-ClubRecal,2,1.8,0.9
Prdt-1,OCTOBER,12 Months,CL Recall Leased-CG,2,1.7886666666666668,0.8943333333333334
Prdt-2,OCTOBER,12 Months,NVIPC640-EG SV Rec,2,1.76,0.88
Prdt-1,NOVEMBER,12 Months,Recall-CG,3,1.755,0.585
Prdt-2,OCTOBER,12 Months,NVIPC651-TX/NV/CA,2,1.72,0.86
Prdt-2,OCTOBER,12 Months,Recall First Sight-CG,2,1.72,0.86
Prdt-2,OCTOBER,12 Months,NVIPC645-EG MV Rec,2,1.71,0.855
Prdt-2,OCTOBER,12 Months,NVIPC644-EG MV Rec,2,1.6800000000000002,0.8400000000000001
Prdt-2,OCTOBER,12 Months,-Recall Exam NV-TG,2,1.68,0.84
Prdt-2,DECEMBER,18 Months,NVIPC647-Recall-TG,2,1.64,0.82
Prdt-1,OCTOBER,12 Months,NVIPC635-CL Recall,2,1.6099999999999999,0.8049999999999999
Prdt-2,OCTOBER,18 Months,EG Recall Leased-CG,4,1.6056507936507942,0.40141269841269855
Prdt-2,OCTOBER,21 Months,Recall Employed-CG,2,1.605,0.8025
Prdt-2,NOVEMBER,18 Months,NVIPC640-Recall-CG,2,1.6016666666666668,0.8008333333333334
Prdt-1,JANUARY,15 Months,NVIPC637-ClubRecal,2,1.55,0.775
Prdt-1,NOVEMBER,21 Months,Recall-CG,3,1.5372380952380953,0.5124126984126984
Prdt-2,JANUARY,24 Months,NVIPC650-Recall-CG,2,1.4233333333333333,0.7116666666666667
Prdt-2,OCTOBER,15 Months,NVIPC640-EG SV Rec,2,1.3599999999999999,0.6799999999999999
Prdt-2,OCTOBER,12 Months,NVIPC650-EG SV Rec,2,1.32,0.66
Prdt-2,OCTOBER,18 Months,RecallNONFirstSight-TG,4,1.3195555555555551,0.3298888888888888
Prdt-1,JANUARY,24 Months,NVIPC637-ClubRecal,2,1.27,0.635
Prdt-2,OCTOBER,27 Months,NVIPC644-EG MV Rec,2,1.25,0.625
Prdt-1,DECEMBER,24 Months,Recall-CG,3,1.2323809523809524,0.41079365079365077
Prdt-2,OCTOBER,24 Months,RecallNONFirstSight-TG,4,1.2246666666666668,0.3061666666666667
Prdt-2,OCTOBER,24 Months,Recall Employed-CG,2,1.2176666666666662,0.6088333333333331
Prdt-1,OCTOBER,15 Months,NVIPC635-CL Recall,2,1.21,0.605
Prdt-2,NOVEMBER,18 Months,NVIPC647-Recall-TG,2,1.1929999999999998,0.5964999999999999
Prdt-1,OCTOBER,12 Months,NVIPC637-CL Recall,2,1.17,0.585
Prdt-1,OCTOBER,27 Months,-Recall Employed CL-TG,2,1.1617619047619043,0.5808809523809522
Prdt-2,OCTOBER,21 Months,NVIPC645-EG MV Rec,2,1.15,0.575
Prdt-2,OCTOBER,15 Months,NVIPC651-TX/NV/CA,2,1.15,0.575
Prdt-2,DECEMBER,24 Months,NVIPC647-Recall-TG,2,1.1488095238095237,0.5744047619047619
Prdt-1,JANUARY,21 Months,NVIPC637-ClubRecal,2,1.142,0.571
Prdt-1,DECEMBER,12 Months,NVIPC637-ClubRecal,2,1.1300000000000001,0.5650000000000001
Prdt-1,OCTOBER,24 Months,CL Recall Leased-TG,2,1.129,0.5645
Prdt-1,OCTOBER,18 Months,NVIPC635-CL Recall,2,1.12,0.56
Prdt-2,OCTOBER,15 Months,NVIPC650-EG SV Rec,2,1.12,0.56
Prdt-2,OCTOBER,27 Months,NVIPC645-EG MV Rec,2,1.1,0.55
Prdt-2,OCTOBER,15 Months,NVIPC644-EG MV Rec,2,1.0899999999999999,0.5449999999999999
Prdt-1,JANUARY,18 Months,Recall-CG,3,1.0844090909090909,0.36146969696969694
Prdt-2,OCTOBER,21 Months,NVIPC651-TX/NV/CA,2,1.074,0.537
Prdt-2,DECEMBER,18 Months,NVIPC650-Recall-CG,2,1.0705714285714287,0.5352857142857144
Prdt-2,OCTOBER,15 Months,NVIPC645-EG MV Rec,2,1.07,0.535
Prdt-1,DECEMBER,15 Months,NVIPC637-ClubRecal,2,1.07,0.535
Prdt-2,DECEMBER,18 Months,NVIPC640-Recall-CG,2,1.067,0.5335
Prdt-1,OCTOBER,24 Months,NVIPC635-CL Recall,2,1.0666666666666667,0.5333333333333333
Prdt-2,JANUARY,24 Months,NVIPC640-Recall-CG,2,1.0613333333333335,0.5306666666666667
Prdt-1,JANUARY,18 Months,NVIPC637-ClubRecal,2,1.06,0.53
Prdt-2,OCTOBER,21 Months,NVIPC640-EG SV Rec,2,1.05,0.525
Prdt-2,OCTOBER,21 Months,NVIPC646-TX/NV EG,2,1.0406666666666669,0.5203333333333334
Prdt-2,OCTOBER,27 Months,NVIPC651-TX/NV/CA,2,1.04,0.52
Prdt-2,JANUARY,18 Months,NVIPC646-Recall-TG,2,1.0356666666666665,0.5178333333333333
Prdt-1,OCTOBER,21 Months,NVIPC635-CL Recall,2,1.0350000000000001,0.5175000000000001
Prdt-1,OCTOBER,21 Months,NVIPC637-CL Recall,2,1.035,0.5175
Prdt-2,OCTOBER,27 Months,EG Recall Leased-CG,2,1.0336666666666665,0.5168333333333333
Prdt-2,OCTOBER,21 Months,NVIPC644-EG MV Rec,2,1.0306666666666668,0.5153333333333334
Prdt-1,OCTOBER,15 Months,NVIPC634-CL Invite,2,1.03,0.515
Prdt-1,OCTOBER,12 Months,NVIPC634-CL Invite,2,1.03,0.515
Prdt-2,JANUARY,27 Months,Recall-CG,6,1.0263528138528133,0.17105880230880222
Prdt-2,JANUARY,21 Months,Recall-CG,6,1.0154141691641687,0.16923569486069479
Prdt-2,OCTOBER,21 Months,NVIPC650-EG SV Rec,2,1.014,0.507
Prdt-2,OCTOBER,12 Months,NVIPC646-TX/NV EG,2,1.01,0.505
Prdt-2,OCTOBER,21 Months,EG Recall Leased-CG,2,1.0063333333333335,0.5031666666666668
Prdt-2,AUGUST,24 Months,EGRecallSV24,1,1.0,1.0
Prdt-2,AUGUST,24 Months,EGRecallMV24,1,1.0,1.0
Prdt-1,JUNE,12 Months,CLRecall12-Employed,1,1.0,1.0
Prdt-2,AUGUST,24 Months,EGRecall24Leased,1,1.0,1.0
Prdt-2,DECEMBER,12 Months,NVIPC650-Recall-TG,1,1.0,1.0
Prdt-1,JUNE,15 Months,CLRecall15Leased,1,1.0,1.0
Prdt-2,DECEMBER,15 Months,NVIPC645-Recall-TG,1,1.0,1.0
Prdt-2,JULY,24 Months,EGRecallMV22,1,1.0,1.0
Prdt-2,AUGUST,15 Months,EGRecallSV14TXNVCA,1,1.0,1.0
Prdt-2,DECEMBER,15 Months,NVIPC644-Recall-TG,1,1.0,1.0
Prdt-2,NOVEMBER,12 Months,NVIPC645-Recall-TG,1,1.0,1.0
Prdt-2,DECEMBER,12 Months,NVIPC645-Recall-TG,1,1.0,1.0
Prdt-2,NOVEMBER,12 Months,NVIPC644-Recall-TG,1,1.0,1.0
Prdt-2,MAY,21 Months,EGRecall21NONFS,1,1.0,1.0
Prdt-2,AUGUST,15 Months,EGRecallMV14TXNV,1,1.0,1.0
Prdt-2,AUGUST,18 Months,EGRecall16Leased,1,1.0,1.0
Prdt-2,DECEMBER,12 Months,NVIPC644-Recall-TG,1,1.0,1.0
Prdt-1,JULY,15 Months,CLRecall15Leased,1,1.0,1.0
Prdt-1,JUNE,15 Months,CLRecall15-Employed,1,1.0,1.0
Prdt-2,NOVEMBER,12 Months,NVIPC651-Recall-TG,1,1.0,1.0
Prdt-1,JULY,12 Months,CLRecall12-Employed,1,1.0,1.0
Prdt-1,JANUARY,12 Months,NVIPC634-Recall-TG,1,1.0,1.0
Prdt-2,OCTOBER,12 Months,NVIPC119-Combined-TG,1,1.0,1.0
Prdt-2,AUGUST,12 Months,EGRecall12Employed,1,1.0,1.0
Prdt-1,MAY,12 Months,CLRecall12-Employed,1,1.0,1.0
Prdt-2,JANUARY,12 Months,NVIPC640-Recall-TG,1,1.0,1.0
Prdt-2,JANUARY,12 Months,NVIPC644-Recall-TG,1,1.0,1.0
Prdt-2,NOVEMBER,12 Months,NVIPC650-Recall-TG,1,1.0,1.0
Prdt-2,JANUARY,12 Months,NVIPC645-Recall-TG,1,1.0,1.0
Prdt-2,AUGUST,12 Months,EGRecallSV12TXNVCA,1,1.0,1.0
Prdt-1,MAY,15 Months,CLRecall15-Employed,1,1.0,1.0
Prdt-1,DECEMBER,18 Months,NVIPC635-Recall-TG,1,1.0,1.0
Prdt-2,JANUARY,12 Months,NVIPC651-Recall-TG,1,1.0,1.0
Prdt-1,DECEMBER,15 Months,NVIPC635-Recall-TG,1,1.0,1.0
Prdt-1,MAY,15 Months,CLRecall15Leaseded,1,1.0,1.0
Prdt-1,DECEMBER,12 Months,NVIPC635-Recall-TG,1,1.0,1.0
Prdt-1,AUGUST,27 Months,CLRecall27-Employed,1,1.0,1.0
Prdt-2,JULY,15 Months,Recall15EGExamOnly,1,1.0,1.0
Prdt-1,AUGUST,24 Months,CLRecall24-Employed,1,1.0,1.0
Prdt-2,JULY,15 Months,EGRecallSV14,1,1.0,1.0
Prdt-2,JUNE,21 Months,EGRecall21Exam,1,1.0,1.0
Prdt-2,JUNE,24 Months,EGRecallMV22,1,1.0,1.0
Prdt-2,OCTOBER,27 Months,NVIPC646-TX/NV EG,2,1.0,0.5
Prdt-1,APRIL,15 Months,Recall15CLExamOnly,1,1.0,1.0
Prdt-2,OCTOBER,27 Months,NVIPC650-EG SV Rec,2,1.0,0.5
Prdt-1,DECEMBER,24 Months,NVIPC637-ClubRecal,2,1.0,0.5
Prdt-1,MAY,12 Months,CLRecall12Leaseded,1,1.0,1.0
Prdt-2,JUNE,15 Months,EGRecall15FS,1,1.0,1.0
Prdt-1,JANUARY,15 Months,NVIPC635-Recall-TG,1,1.0,1.0
Prdt-1,JANUARY,15 Months,NVIPC764-Recall-TG,1,1.0,1.0
Prdt-2,MAY,18 Months,EGRecall18FS,1,1.0,1.0
Prdt-1,JANUARY,12 Months,NVIPC635-Recall-TG,1,1.0,1.0
Prdt-2,MAY,18 Months,EGRecall18NONFS,1,1.0,1.0
Prdt-1,JANUARY,15 Months,NVIPC634-Recall-TG,1,0.9983333333333334,0.9983333333333334
Prdt-2,DECEMBER,27 Months,NVIPC650-Recall-TG,1,0.998,0.998
Prdt-2,JANUARY,18 Months,NVIPC764-Recall-TG,1,0.995,0.995
Prdt-2,DECEMBER,27 Months,NVIPC645-Recall-TG,1,0.9946666666666667,0.9946666666666667
Prdt-1,JUNE,24 Months,CLRecall24-Employed,1,0.992,0.992
Prdt-2,OCTOBER,18 Months,Recall Employed-CG,2,0.9913809523809525,0.49569047619047624
Prdt-2,AUGUST,24 Months,EGRecallSV22,1,0.99,0.99
Prdt-2,AUGUST,24 Months,EGRecallMV24TXNV,1,0.99,0.99
Prdt-2,JULY,24 Months,EGRecallMV24,1,0.99,0.99
Prdt-2,AUGUST,24 Months,EGRecallSV22TXNVCA,1,0.99,0.99
Prdt-2,JULY,24 Months,EGRecallMV22TXNV,1,0.99,0.99
Prdt-2,AUGUST,15 Months,EGRecallMV14CA,1,0.99,0.99
Prdt-2,AUGUST,18 Months,EGRecallSV16,1,0.99,0.99
Prdt-2,JUNE,24 Months,EGRecallSV22TXNVCA,1,0.99,0.99
Prdt-1,OCTOBER,15 Months,NVIPC637-CL Recall,2,0.99,0.495
Prdt-1,NOVEMBER,12 Months,NVIPC635-Recall-TG,1,0.99,0.99
Prdt-2,AUGUST,12 Months,EGRecallMV12TXNV,1,0.99,0.99
Prdt-2,AUGUST,24 Months,EGRecallSV24TXNVCA,1,0.99,0.99
Prdt-2,MAY,18 Months,EGRecall18NONFS-Test,1,0.99,0.99
Prdt-1,NOVEMBER,15 Months,NVIPC634-Recall-TG,1,0.99,0.99
Prdt-1,NOVEMBER,15 Months,NVIPC635-Recall-TG,1,0.99,0.99
Prdt-2,JUNE,15 Months,EGRecall14Leased,1,0.99,0.99
Prdt-2,AUGUST,15 Months,EGRecall15FS,1,0.99,0.99
Prdt-2,AUGUST,15 Months,EGRecall15Employed,1,0.99,0.99
Prdt-1,MAY,24 Months,CLRecall24-Employed,1,0.99,0.99
Prdt-1,JUNE,24 Months,CLRecall24Leased,1,0.99,0.99
Prdt-2,MAY,18 Months,EGRecall18Leaseded,1,0.99,0.99
Prdt-2,AUGUST,24 Months,EGRecall22Leased,1,0.99,0.99
Prdt-2,MAY,15 Months,EGRecall15NONFS,1,0.99,0.99
Prdt-2,AUGUST,21 Months,EGRecall21Employed,1,0.99,0.99
Prdt-2,MAY,15 Months,EGRecall15FS,1,0.99,0.99
Prdt-2,AUGUST,12 Months,EGRecall12FS,1,0.99,0.99
Prdt-2,AUGUST,12 Months,EGRecall12Leased,1,0.99,0.99
Prdt-2,JUNE,12 Months,EGRecall12Leased,1,0.99,0.99
Prdt-2,AUGUST,21 Months,EGRecall21FS,1,0.99,0.99
Prdt-2,MAY,18 Months,EGRecall16Leaseded,1,0.99,0.99
Prdt-2,JUNE,15 Months,EGRecallSV14TXNVCA,1,0.99,0.99
Prdt-2,JUNE,15 Months,Recall15EGExamOnly,1,0.99,0.99
Prdt-2,JUNE,18 Months,EGRecallMV16TXNV,1,0.99,0.99
Prdt-2,AUGUST,12 Months,EGRecall12Promo,1,0.99,0.99
Prdt-2,JUNE,18 Months,EGRecall16Leased,1,0.99,0.99
Prdt-2,JUNE,18 Months,EGRecall18Employed,1,0.99,0.99
Prdt-2,AUGUST,12 Months,EGRecallMV12,1,0.99,0.99
Prdt-1,JUNE,12 Months,CLRecall12Leased,1,0.99,0.99
Prdt-2,AUGUST,24 Months,EGRecallMV22,1,0.99,0.99
Prdt-2,AUGUST,21 Months,EGRecall20Leased,1,0.99,0.99
Prdt-2,MAY,12 Months,EGRecall12Employeded,1,0.99,0.99
Prdt-2,AUGUST,24 Months,EGRecallMV22TXNV,1,0.99,0.99
Prdt-2,JULY,12 Months,EGRecall12Exam,1,0.99,0.99
Prdt-1,JULY,15 Months,Recall15CLExamOnly,1,0.99,0.99
